"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Georgia","European",2022-04-01,2105.78298242093,1235.66015428573,3585.92390132528,1777.04586205734,925.645484894004,3385.43519352567,1669.39170737528,862.633000491669,3205.12786203268
"Germany","European",2022-04-01,9685.42991453419,9272.39423629964,10105.4453759908,6790.57963801205,6500.99500510038,7085.05788682341,6064.30071225339,5805.68828308851,6327.28336604827
"Ghana","African ",2022-04-01,77998.6055438278,58831.4816599269,96610.2982131675,71671.8323456847,54298.0982675421,88597.3631012299,68173.4299898616,51614.6452467685,84267.5799181795
"Greece","European",2022-04-01,775.625028521278,441.392302826645,1342.33226255373,448.027326760649,223.552488227318,881.417238820808,410.377380032588,203.033325355423,813.712315218596
"Grenada","Americas",2022-04-01,109.254171807571,44.4517695789108,200.246268716657,69.7062520789494,26.1801941727173,141.239011414228,63.1378291731104,23.448044683201,129.219375420453
"Guatemala","Americas",2022-04-01,61103.2170788205,42807.8112886182,81813.1316235304,53136.8661830697,34516.1483012606,74319.493526636,49705.5102531594,31979.3605017318,70016.4126187752
"Guinea","African ",2022-04-01,64085.1738190901,38866.7933100314,89503.472509969,57369.4373691126,34827.3798444297,80110.1006109271,54584.6795145726,33135.9482034689,76224.0776512227
"Guinea Bissau","African ",2022-04-01,10458.8454480531,7578.40595800193,13278.9105277777,9415.87559509919,6840.12518140766,11942.6781733257,8959.31586216952,6508.47590081121,11363.4247953379
"Guyana","Americas",2022-04-01,2317.42577077016,1096.76257195524,3895.42426016525,1802.77075496894,793.749905345212,3231.22977274403,1663.49976849544,730.665210820153,3011.4847007213
"Haiti","Americas",2022-04-01,35823.3019771775,16330.3598608023,57312.5012206975,31705.3478295859,13961.7219333148,51767.750938154,29736.3190460522,13094.0572725844,48767.8775794382
"Honduras","Americas",2022-04-01,39898.2107023436,24947.4161775701,58756.6037372751,30381.8275549692,16901.3565752106,49233.3410405387,27971.5172468117,15374.6158464584,45862.1609951082
"Hungary","Eastern European",2022-04-01,10578.4072724261,6315.40224809502,17410.8407007247,5281.99224553549,2751.27750887913,10003.7320272745,4695.91361237961,2423.40899461113,8986.25644102186
"Iceland","European",2022-04-01,6.93842822281287,4.05503683053334,11.8295027923115,5.05174574714658,2.60191971097012,9.7622536388233,4.69870436003005,2.39984908078625,9.15692043056654
"India","South-East Asia",2022-04-01,2993868.56763688,2743024.26579899,3238254.31763872,1908175.74736016,1748297.31505198,2063937.74913769,1861620.20166979,1705642.47277979,2013581.93242898
"Indonesia","South-East Asia",2022-04-01,470899.80054241,281179.993198801,731507.401319573,341589.135645812,183450.204687567,582602.513293357,312966.897695837,166470.50655959,538653.35525069
"Iran (Islamic Republic of)","Eastern Mediterranean",2022-04-01,96203.6991925449,76858.2356841051,114836.179262944,72797.8917908983,58159.0684301299,86897.1964885925,71784.0638261257,57349.1096726846,85687.0129833678
"Iraq","Eastern Mediterranean",2022-04-01,351540.965609871,255136.265116217,448512.425768175,325636.822225692,236224.136387402,414971.883626726,309499.96522412,224600.975084352,394278.563731839
"Ireland","European",2022-04-01,477.948597755722,277.454629665824,805.301113188387,360.113945812119,183.93192791678,685.579952092472,335.716325946041,170.014154457345,644.433431837994
"Israel","European",2022-04-01,7464.97564275433,4854.63590497326,11146.9197937795,8710.49774607362,5428.48409487985,13079.2770399332,8374.83133958126,5202.83145575602,12586.1348317438
"Italy","European",2022-04-01,12968.965733159,12088.5597871252,13860.3786072631,8092.58834107468,7543.21817225162,8648.8267937382,7296.2483399158,6800.93818532288,7797.75091434486
"Jamaica","Americas",2022-04-01,2683.43523574206,1293.13888058712,4670.35220796453,1653.06093961408,719.189058662571,3246.32208707466,1492.99509447123,643.338392893868,2964.58185492391
"Japan","Western Pacific",2022-04-01,20894.3565067314,12101.6375001005,34741.4309890536,9484.28191323444,4787.74670352458,17995.173319466,8376.19330443048,4190.00898083745,16037.9841875398
"Jordan","Eastern Mediterranean",2022-04-01,29264.8392591171,19126.896910674,41242.7995103214,24689.0043092937,14856.1574305155,36731.4181739838,22999.4743911059,13707.5844248022,34469.5563918892
"Kazakhstan","European",2022-04-01,18666.6904384788,11562.8046953134,28931.6334279971,20349.9215449297,11492.9286936859,33563.8535957664,19464.6760124826,10923.0728738079,32261.7027038202
"Kenya","African ",2022-04-01,320773.38330154,189970.936343571,453253.021926437,296391.477669482,175531.292395905,418801.371685659,284047.500341118,168220.845041647,401359.32281899
"Republic of Korea","Western Pacific",2022-04-01,1446.66682671254,847.299374800721,2451.18102360915,560.417069316285,287.744125539305,1086.38674704452,489.689460599578,249.254662399305,957.897312174342
"Kuwait","Eastern Mediterranean",2022-04-01,1578.28979624666,926.968905260672,2546.31662489233,1036.59402037139,535.956409666153,1877.89444409943,941.2165877734,479.957459513962,1724.07861411658
"Kyrgyzstan","European",2022-04-01,12752.9551819038,8236.66984438588,18829.3992511338,14664.341563354,8892.35176926031,22149.1597494817,14082.7101238476,8501.1290040399,21313.1381733319
"Lao People's Democratic Republic","Western Pacific",2022-04-01,7979.49607057519,4590.91887008817,12213.5816812626,6494.8949699591,3444.23153471402,10633.0155503362,6023.75036769505,3171.04634501911,9971.17797928397
